Category,Item,Vendor Name,Contact Name,Vendor Number,Vendor Email,Previously Used,Contacted On,Made Contact With,Availability,Davis County,Utah County,Salt Lake County,Tags,Notes
Maintenance and Repairs,Plumbing Services,TB Yetter Plumbing Experts,Terry Yetter,801-884-3351,,FALSE,10/7/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Plumbing Services,Rocky Moutian Plumbing and Remodel,Tiko Mahe Lewis,801-691-4617,,FALSE,10/7/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Plumbing Services,Kittyhawk Plumbing,Todd (TJ) Wright,801-512-7521,,FALSE,10/7/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Plumbing Services,Robertson Plumbing,Zach Robertson,801-808-1236,,FALSE,10/7/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Plumbing Services,Pulse Plumbing,Zachary Zimmerman,281-639-6494,,FALSE,10/9/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Brian Young Electric,Brian Young,801-455-7217,,FALSE,10/9/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Outdoor Lighting Perspectives of Salt Lake,Bryan Parry,801-436-8040,,FALSE,10/9/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Silver Star Electric,Cody Francis,801-369-5842,,FALSE,10/9/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Parleys Electric,Danny Connolly,801-440-1502,,FALSE,10/9/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Natay Electric,Hudson Hall,385-316-9365,,FALSE,10/11/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,JessiJames Outlaw Electric LLC,Jessi & James Sieverts,801-706-4259,,FALSE,10/11/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Energized Electric,Joseph Cope,801-376-0671,,FALSE,10/11/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Momentum Electric LLC,Kevin Leppink,801-580-2430,,FALSE,10/11/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,"K.E.M. Electric, LLC",Kyle McMurray,801-600-9596,,FALSE,10/11/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Kartchner Electric,Landon Kartchner,801-699-1319,,FALSE,10/14/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Cook Electric,Nate Crook,801-556-5343,,FALSE,10/14/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Circuit Solutions,Nathan Nielsen,801-870-4815,,FALSE,10/14/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Kronos Electric,Nichelas Hillis,435-279-6167,,FALSE,10/14/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Simply Done Right,Rick Inman,602-292-2493,,FALSE,10/14/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Arc Electric Inc,Russ Sorenson,801-755-6877,,FALSE,10/16/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Ferree Electric,Sam Ferree,801-703-4799,,FALSE,10/16/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,E.R.S. Inc. Heating & Cooling,Alecia Smith,801-732-6020,,FALSE,10/16/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,Air Pros,Alex Wiltz,801-201-6413,,FALSE,10/16/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,Rogers HVAC,Ben Rogers,435-764-8495,,FALSE,10/16/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,Perform Heating & Cooling,Brett Nielson,801-369-8051,,FALSE,10/18/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,SOS Heating and AC,Bryson Ninow,801-419-7345,,FALSE,10/18/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,Utah Heating and Cooling,Carson Duda,801-948-0663,,FALSE,10/18/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,Any Climate Mechanical,Chris Kinder,801-520-7026,,FALSE,10/18/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,Vogl Direct,David Carlson,385-352-3285,,FALSE,10/18/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,Proformance Heating and Air,David Sackett,385-226-7667,,FALSE,10/21/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,Mountain Air Conditioning & Heating,Drew Tubbs,801-792-0254,,FALSE,10/21/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,Copper peaks hvac,Eric Kennedy,801-971-3667,,FALSE,10/21/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,Method Air,Fred Wald,435-512-2229,,FALSE,10/21/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,Western Mechanical,Jack Egbert,435-770-9274,,FALSE,10/21/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,ERS Heating & Cooling,Josh Otto,801-726-8100,,FALSE,10/25/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,At Your Service Pros,Kaden Pigsley,801-637-8335,,FALSE,10/25/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,Backdoor Piping & HVAC,Krista Sadler,435-512-4919,,FALSE,10/25/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,E.R.S. Inc. Heating & Cooling,Lori Bryson,801-732-6020,,FALSE,10/25/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,E.R.S. Inc. Heating & Cooling,Michael Bryson,801-732-6020,,FALSE,10/25/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,Air Conditioning & Heating Service,Mike Gross,801-710-7127,,FALSE,10/25/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,Total Home Services of Utah,Roger Hughes,385-777-6114,,FALSE,10/25/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,Sami James HVAC Services LLC,Samuel Kamran,801-245-0510,,FALSE,10/25/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,"Salt Air Systems, LLC.",Sara Treasure,801-896-6341,,FALSE,10/25/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,Kodiak Cooling and Heating,Todd Cloward,801-510-0492,,FALSE,10/25/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,Kellys Heating & Cooling Inc,Todd Lesher,801-573-2046,,FALSE,10/28/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,TK Heating and Air,Tyrone Michaelis,801-859-1404,,FALSE,10/28/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,HVAC,Genuine Comfort Heating & Air,Wayne Rappleye,385-316-9500,,FALSE,10/28/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Presidential Roofing,Adrian Alvarez,702-810-8038,,FALSE,10/28/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Dynamite Roofing,Annalyce Kennington,801-510-7954,,FALSE,10/28/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Bob Harvey Roofing,Bob Harvey,801-628-7211,,FALSE,10/28/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Authority Roofing,Bowen Gines,801-628-2112,,FALSE,10/28/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,River Front Roofing,Brad Durrant,480-335-5503,,FALSE,10/28/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Roof Rescue,David Bethers,435-999-4018,,FALSE,10/28/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,"Roof It, Inc.",David Johnson,618-789-2219,,FALSE,10/28/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,"Far West Roofing, Inc.",Douglas Cooper,801-403-8837,,FALSE,10/29/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Vertex Roofing,Gavin May,801-639-0477,,FALSE,10/29/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Advanced Roofing & Moisture Control,Gordon Robinson,385-441-0428,,FALSE,10/29/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Construction Squared,Jaime Dirzo,385-227-4302,,FALSE,10/29/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Dynamite Roofing,Jason Schwendiman,801-903-7687,,FALSE,10/29/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Bigfoot Roofing & Gutters,Jeff Rasmussen,407-538-2287,,FALSE,10/29/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Bob Harvey Roofing,Jennifer Scott,801-544-5125,,FALSE,10/29/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Pride Roofing,John Evans,801-898-1776,,FALSE,10/29/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Ascent Solar & Roofing,Jordan Jones,801-888-9210,,FALSE,10/29/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Roof Rescue,Joshua Daniel,208-539-3406,,FALSE,10/29/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,MAD ROOFING,Joshua Legg,801-598-2933,,FALSE,10/30/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Bob Harvey Roofing,JP Scott,425-772-7653,,FALSE,10/30/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Emerald Gotcha Gutters,Justin Poe,385-484-1173,,FALSE,10/30/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,iRoofUtah,Kelly Mann,801-499-2775,,FALSE,10/30/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Rock Top Construction,Lon VomBaur,801-567-1234,,FALSE,10/30/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Bear Creek Roofing Services,Maria Berry,801-833-5010,,FALSE,10/30/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Redline Roofing,Matt Chaston,801-388-1787,,FALSE,10/30/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Mighty dog roofing,Michael York,385-295-0745,,FALSE,10/30/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,"Advanced Moisture Control, Inc.",Mickey Beck,801-671-2282,,FALSE,10/30/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Legacy Roofing,Ryan Benitez,801-821-0222,,FALSE,11/1/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Big Horn Roofing,Sonja Beekley,801-856-8855,,FALSE,11/1/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Bigfoot Roofing & Gutters,Taylor Pinney,801-573-5445,,FALSE,11/1/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Bear Creek Roofing,Tim Berry,801-668-6379,,FALSE,11/1/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,"Roof-It, Inc.",Tim Johnson,801-227-9686,,FALSE,11/1/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Fortress roofing,Tyler Brinkerhoff,208-637-9314,,FALSE,11/1/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Kanga Roof,Van Wilkinson,801-809-9313,,FALSE,11/1/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Legendary Roofing,Vanessa Putnam,801-430-3751,,FALSE,11/1/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Kanga Roof,Zach Wilkinson,801-829-8471,,FALSE,11/1/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Roofing,Collins Roofing Inc,ACME Collins,801-341-8071,office@collinsroofinginc.com,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Appliances,A Appliance & Refrigeration Service,,801-467-7622,jhansen7@msn.com ,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Amenities and Community Areas,Janitorial Services,Blue Lake Services,,385-223-9755,pedroarmandosaldana@gmail.com,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Amenities and Community Areas,Janitorial Services,Boss Systems***,,801-420-0539,bosssystemsoffice@gmail.com,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Amenities and Community Areas,Janitorial Services,Completely Clean,,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Amenities and Community Areas,Janitorial Services,Melanie Schaefermeyer,,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Amenities and Community Areas,Janitorial Services,Mint Restoration,,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Amenities and Community Areas,Janitorial Services,Monica's Elite Cleaning,,(801) 310-9256,mec18.inc@gmail.com,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Amenities and Community Areas,Janitorial Services,Pressure Washing of Utah,,(801) 857-8890,pressurewashingofutah@gmail.com,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Amenities and Community Areas,Janitorial Services,Salt Lake Environmental,,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Amenities and Community Areas,Janitorial Services,Sensational Cleaning Utah LLC*,,(801) 487-0705,espe180@yahoo.com,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Amenities and Community Areas,Janitorial Services,Smart Clean*,,(801) 310-2936,smartcleanutah@gmail.com,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Amenities and Community Areas,Janitorial Services,Steady Property Services,,(208) 243-4317,jr.businessman460@gmail.com,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Amenities and Community Areas,Janitorial Services,The Sofa Source,,(866) 730-7632,support@thesofasource.com,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Amenities and Community Areas,Janitorial Services,VBD Cleaning Services LLC,,(385) 224-9322,marilolis1013@yahoo.com,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Bowen Built Electric LLC,,(801) 548-1950,bowenbuiltelect@gmail.com,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,ClemCo LLC,,(360) 510-3920,clemcocalyn@gmail.com,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Delta Service Electric,,(801) 404-2420,deltaserviceelectric@hotmail.com,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Haupt Electric*,,(801) 489-6565,office@hauptelectrical.com,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Legendary Electric,,(801) 931-1206,travis@legendaryelectricutah.com,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Master Electric Services,,(801) 543-2222,service@masterelectrical.com,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Nutek Electric Co.,,(801) 856-8651,mike@nutekutah.com,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Electrician,Residential Electric,,(801) 949-5037,bowooldridge@aol.com,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,
